BEEP	HCE
p	p
b	b
t	t
d	d
k	k
m	m
n	n
l	l
r	ɹ
f	f
v	v
s	s
z	z
hh	h
w	w
g	g
ch	tʃ
jh	dʒ
ng	ŋ
th	θ
dh	ð
sh	ʃ
zh	ʒ
y	j
iy	iː
aa	ɐː
ao	oː
uw	ʉː
er	ɜː
ih	ɪ
eh	e
ae	æ
ah	ɐ
oh	ɔ
uh	ʊ
ax	ə
ey	æɪ
ay	ɑe
oy	oɪ
ow	əʉ
aw	æɔ
ia	ɪə
ea	eː
ua	ʊə
